age,position,games_played,games_started,minutes,rebounds,assists,steals,blocks,turnovers,fouls,points,trip_dbl,all_star
24,C,45,0,388,120,9,5,23,23,60,100,0,0
24,C,30,0,213,57,6,3,9,14,41,50,0,0
24,C,15,0,175,63,3,2,14,9,19,50,0,0
25,C,46,2,330,129,14,8,30,18,40,92,0,0
26,C,61,16,976,338,75,37,65,59,122,338,0,0
27,C,60,5,800,288,50,47,68,64,139,328,0,0
28,C,62,0,531,158,25,25,23,17,85,105,0,0
29,C,21,0,49,15,3,2,1,1,11,12,0,0
20,PF,8,0,36,6,0,1,2,1,1,10,0,0
21,C,63,22,1392,312,24,22,73,43,186,565,0,0
22,PF,76,76,2649,578,122,55,94,126,240,1350,0,0
23,PF,81,81,3004,605,157,77,77,121,207,1470,0,0
24,PF,78,78,2922,627,160,67,48,104,231,1393,0,0
25,PF,81,81,3211,709,170,82,94,153,220,1769,0,0
26,PF,55,55,1994,442,134,51,45,111,153,1191,0,1
27,PF,74,74,2790,670,192,62,91,143,187,1560,0,1
28,PF,69,69,2498,765,178,63,68,123,147,1603,0,1
29,PF,71,71,2512,726,124,48,68,122,125,1661,0,1
30,PF,74,74,2261,632,110,38,81,99,151,1331,0,1
31,PF,72,72,2335,523,139,46,88,98,158,1243,0,0
32,C,75,75,2509,635,152,43,90,111,161,1735,0,1
33,C,81,81,2687,744,194,43,107,144,179,1727,0,1
34,C,53,53,1754,392,129,36,87,74,128,1001,0,0
35,C,19,18,506,85,36,8,17,18,28,265,0,0
23,PG,65,24,1382,143,62,45,5,75,139,618,0,0
23,PG,38,6,472,63,21,16,3,21,76,160,0,0
23,PG,27,18,910,80,41,29,2,54,63,458,0,0
24,SG,56,28,1325,148,86,35,7,60,113,549,0,0
25,PG,66,7,1360,118,79,31,6,68,125,523,0,0
22,PG,60,0,560,42,121,27,2,68,94,168,0,0
23,PG,80,6,1454,123,254,82,16,146,148,577,0,0
24,PG,60,22,1298,146,209,70,11,112,98,488,0,0
24,PG,37,3,501,47,71,25,5,47,53,165,0,0
24,PG,23,19,797,99,138,45,6,65,45,323,0,0
25,PG,36,4,778,74,119,35,5,69,77,261,0,0
26,PG,29,2,329,42,58,24,2,28,39,82,0,0
27,PG,26,0,227,25,36,16,0,25,29,52,0,0
31,SG,16,1,201,29,37,9,1,19,29,49,0,0
22,SF,59,0,716,115,42,15,29,52,107,278,0,0
23,SF,8,0,29,5,2,1,1,0,9,4,0,0
23,C,2,0,13,3,0,0,0,1,1,2,0,0
22,SG,3,0,8,1,1,0,0,0,1,0,0,0
21,SG,10,1,120,26,13,1,0,8,7,37,0,0
21,SG,47,1,591,84,89,17,8,54,57,267,0,0
22,SG,26,3,455,62,47,27,8,30,43,211,0,0
23,SG,38,2,416,23,25,6,6,33,47,211,0,0
24,SG,38,0,718,85,52,10,2,33,53,330,0,0
25,SG,22,11,532,62,47,23,3,21,30,214,0,0
19,C,72,31,1441,388,49,28,88,82,147,587,0,0
20,C,80,80,2096,672,110,43,120,103,184,873,0,0
21,C,70,64,1852,671,110,40,92,77,162,775,0,0
22,C,32,14,880,311,55,15,58,48,49,430,0,0
22,C,12,5,320,125,20,7,19,22,21,134,0,0
22,C,20,9,560,186,35,8,39,26,28,296,0,0
23,SG,41,0,362,25,49,21,5,34,42,108,0,0
24,SG,76,1,943,98,152,31,4,69,84,228,0,0
24,SG,51,1,692,65,109,27,0,56,67,164,0,0
24,SG,25,0,251,33,43,4,4,13,17,64,0,0
25,PG,18,1,107,11,12,3,2,9,15,19,0,0
26,PG,19,1,416,51,76,16,4,26,46,189,0,0
27,PG,10,0,117,9,21,5,2,8,7,50,0,0
22,PF,41,15,624,171,34,13,18,20,73,169,0,0
23,C,79,37,1669,395,73,24,55,55,180,455,0,0
24,PF,65,2,1072,311,71,24,33,44,126,303,0,0
24,PF,51,2,960,277,65,22,27,40,115,263,0,0
24,PF,14,0,112,34,6,2,6,4,11,40,0,0
25,C,63,0,1070,323,73,15,42,40,102,315,0,0
26,PF,79,28,1599,424,76,26,42,69,147,428,0,0
27,PF,61,5,871,219,57,18,24,29,78,177,0,0
23,PF,12,2,161,38,5,3,8,2,16,52,0,0
24,PF,80,73,2318,425,54,37,78,128,234,767,0,0
25,PF,45,6,616,119,16,12,28,27,81,191,0,0
26,PF,36,1,519,99,18,9,22,18,53,194,0,0
26,PF,14,0,248,52,11,4,11,11,29,83,0,0
26,PF,22,1,271,47,7,5,11,7,24,111,0,0
27,PF,54,20,701,140,20,14,16,34,92,266,0,0
28,PF,60,1,638,119,16,17,16,21,85,242,0,0
29,PF,73,16,1096,196,44,19,31,45,149,338,0,0
29,PF,48,12,763,128,29,15,21,32,89,261,0,0
29,PF,25,4,333,68,15,4,10,13,60,77,0,0
30,PF,49,3,579,103,35,7,12,20,89,156,0,0
31,PF,51,3,456,82,16,11,5,22,68,105,0,0
32,PF,18,0,178,32,4,1,4,3,30,23,0,0
21,SG,82,81,2532,326,210,75,10,149,218,1102,0,0
22,SG,82,82,3287,405,356,111,12,263,244,1602,0,0
23,SG,50,50,1719,212,178,53,7,122,117,856,0,0
24,SG,82,82,3070,359,308,110,19,183,187,1809,0,1
25,SG,82,82,3129,428,374,124,20,204,192,1806,1,1
26,SG,69,67,2525,312,271,88,18,159,157,1503,0,1
27,SG,76,75,2880,381,334,103,14,198,220,1713,1,0
27,SG,47,46,1683,218,164,57,11,117,149,1003,0,0
27,SG,29,29,1197,163,170,46,3,81,71,710,1,0
28,SG,56,56,2152,286,268,71,11,156,132,1287,1,1
29,SG,78,78,3064,347,289,84,5,171,167,1867,0,1
30,SG,78,78,3022,332,286,105,16,188,151,1955,0,1
31,SG,55,55,2219,247,228,82,11,154,113,1454,0,1
32,SG,73,73,2624,268,225,65,16,127,147,1273,0,1
33,SG,79,79,2876,278,218,69,13,134,157,1434,0,1
34,SG,80,80,2819,253,210,64,25,129,182,1304,0,0
35,SG,80,80,2890,274,219,77,16,117,147,1321,0,1
36,SG,46,42,1565,142,109,49,8,68,83,655,0,0
37,SG,79,0,2035,217,135,67,15,103,129,863,0,0
38,SG,73,9,1936,205,143,54,8,84,115,701,0,0
26,C,3,0,10,1,0,0,0,0,1,3,0,0
23,SG,77,34,1262,221,64,76,24,77,156,492,0,0
24,PG,51,9,978,111,67,51,18,67,126,369,0,0
25,SG,33,18,805,124,56,49,12,75,87,379,0,0
26,SG,75,11,1373,168,114,62,21,109,168,494,0,0
27,SG,46,2,887,104,66,54,23,77,98,359,0,0
28,SG,54,8,889,145,72,59,19,66,109,330,0,0
29,SG,72,31,1494,193,104,129,44,86,161,643,0,0
30,SG,58,57,1525,233,79,104,33,94,142,568,0,0
31,SG,79,79,2109,363,98,119,44,94,211,705,0,0
32,SG,55,28,1278,208,94,90,19,90,121,495,0,0
33,SG,63,41,1648,280,86,129,30,86,166,539,0,0
34,SG,64,57,1620,296,70,110,18,78,175,535,0,0
35,SG,71,66,1914,391,98,115,29,100,178,643,0,0
36,SF,22,0,273,47,9,11,3,19,49,103,0,0
22,SG,9,0,39,2,3,1,0,2,5,13,0,0
23,SG,25,1,255,36,7,4,4,16,31,92,0,0
26,SG,4,0,67,8,2,7,0,1,6,14,0,0
25,C,2,0,5,2,0,1,1,2,4,2,0,0
25,PF,28,3,357,52,9,6,11,34,49,77,0,0
