age,position,games_played,games_started,minutes,rebounds,assists,steals,blocks,turnovers,fouls,points,trip_dbl,all_star
23,C,72,60,1785,542,35,46,121,114,241,589,0,0
24,C,66,52,1761,541,25,34,160,107,244,485,0,0
25,C,82,82,2535,733,64,47,159,161,287,879,0,0
26,C,82,82,2724,849,45,40,192,155,269,864,0,0
27,C,82,82,2036,701,18,33,146,117,248,523,0,0
28,C,82,80,2124,784,64,42,151,123,252,667,0,0
29,C,80,46,1938,657,67,36,116,132,225,644,0,0
30,C,65,45,1446,456,33,37,111,82,162,490,0,0
31,C,47,23,765,276,21,17,53,51,90,313,0,0
32,C,80,68,1614,541,38,41,94,90,210,529,0,0
33,C,32,21,544,168,29,14,41,39,70,128,0,0
21,C,72,21,1052,294,43,19,73,84,153,370,0,0
22,C,82,82,2656,715,94,39,139,175,281,971,0,0
23,C,50,50,1414,382,54,26,58,92,165,442,0,0
24,C,21,12,495,134,19,8,15,29,75,167,0,0
25,C,43,26,1038,250,59,17,58,82,123,319,0,0
26,C,73,46,1740,387,87,17,167,156,235,554,0,0
27,C,82,82,1978,543,58,27,154,112,242,673,0,0
28,C,74,74,2403,887,60,33,137,131,227,913,0,0
29,C,59,56,1609,501,51,15,80,102,205,542,0,0
30,C,82,36,1934,640,51,27,106,115,263,469,0,0
31,C,76,73,1915,566,44,24,82,107,239,537,0,0
32,C,72,64,1755,539,63,24,106,80,226,440,0,0
33,C,80,80,1836,565,77,24,95,74,191,454,0,0
34,C,55,47,1280,400,31,15,77,61,153,328,0,0
35,C,51,22,815,177,22,14,47,32,82,128,0,0
36,C,15,0,83,25,4,1,4,3,9,2,0,0
22,SG,74,50,1956,143,334,55,10,164,88,579,0,0
23,PG,47,0,614,54,106,30,6,44,39,220,0,0
24,SG,68,1,1195,86,177,55,5,58,73,420,0,0
25,PG,79,23,2060,163,304,61,14,109,120,745,0,0
26,SG,82,13,2175,176,228,48,12,70,104,753,0,0
27,SG,67,2,872,72,85,33,9,32,43,251,0,0
28,PG,71,32,1512,142,298,45,6,61,64,571,0,0
29,PG,75,2,2026,169,309,51,3,78,78,843,0,0
30,SG,80,17,2283,172,284,52,8,89,96,767,0,0
31,SG,80,8,1761,151,290,39,9,69,79,571,0,0
32,PG,71,63,2161,203,340,69,2,91,78,597,0,0
33,PG,74,9,1021,77,177,26,1,62,55,300,0,0
33,PG,13,5,288,22,47,7,0,13,14,66,0,0
33,PG,61,4,733,55,130,19,1,49,41,234,0,0
35,PG,4,0,35,5,2,0,0,1,0,6,0,0
22,SF,21,0,72,18,4,2,0,6,7,13,0,0
23,SG,56,15,1039,146,116,53,12,44,51,477,0,0
24,SG,60,17,1412,216,128,83,14,86,124,545,0,0
25,SG,62,29,1766,224,172,67,13,100,143,634,0,0
26,SG,45,4,800,82,57,27,7,55,56,320,0,0
27,SG,74,1,1546,212,137,79,18,112,121,606,0,0
28,SF,54,43,1700,248,114,62,26,94,120,733,0,0
29,SF,51,4,937,95,66,27,6,42,91,288,0,0
30,SF,49,0,938,113,64,39,22,38,63,271,0,0
31,SG,38,0,484,66,47,21,9,28,36,121,0,0
32,SF,59,33,1085,150,65,51,10,45,77,324,0,0
22,SG,5,1,75,4,5,0,0,3,6,42,0,0
23,SG,47,0,397,33,22,6,1,20,40,176,0,0
23,SG,17,0,108,6,4,0,0,5,14,46,0,0
23,SG,19,0,154,19,13,3,0,8,14,53,0,0
23,SG,11,0,135,8,5,3,1,7,12,77,0,0
24,SG,43,0,476,57,21,11,3,24,40,242,0,0
25,SG,67,3,1183,100,46,20,4,45,90,551,0,0
26,SG,79,15,1622,127,48,26,5,56,137,703,0,0
27,SG,51,1,760,73,26,26,5,27,79,318,0,0
28,SG,47,0,532,52,17,11,3,12,37,200,0,0
28,SG,41,0,456,46,14,8,3,9,30,174,0,0
28,SG,6,0,76,6,3,3,0,3,7,26,0,0
25,SG,19,18,542,46,47,15,3,37,49,255,0,0
26,SG,56,42,1789,136,102,54,9,116,160,702,0,0
26,SG,43,33,1351,102,77,39,8,94,123,486,0,0
26,SG,13,9,438,34,25,15,1,22,37,216,0,0
26,SF,34,0,238,46,11,6,1,11,20,83,0,0
27,SF,21,1,209,29,9,2,7,9,15,105,0,0
27,SF,3,0,17,4,2,1,0,2,1,11,0,0
27,SF,18,1,192,25,7,1,7,7,14,94,0,0
23,SF,38,2,322,62,13,7,15,17,46,120,0,0
24,SF,14,0,111,34,1,2,3,5,12,42,0,0
27,SF,50,6,902,173,40,23,17,48,88,308,0,0
28,SF,32,5,474,81,17,17,3,33,56,179,0,0
28,SF,26,5,443,73,16,13,2,31,49,168,0,0
28,SF,6,0,31,8,1,4,1,2,7,11,0,0
29,SF,27,0,209,52,7,6,4,11,28,62,0,0
29,SF,17,0,140,33,4,2,3,7,20,42,0,0
29,SF,10,0,69,19,3,4,1,4,8,20,0,0
22,PF,51,0,575,109,28,24,8,35,92,144,0,0
23,PF,27,6,423,83,30,18,7,29,59,142,0,0
23,PF,20,6,379,73,28,17,4,25,54,126,0,0
23,PF,7,0,44,10,2,1,3,4,5,16,0,0
19,PF,64,60,1846,522,63,75,112,89,158,867,0,0
20,PF,67,66,2358,673,105,89,189,109,200,1394,0,1
21,PF,68,68,2455,696,149,100,200,95,141,1656,0,1
22,C,61,61,2164,627,116,78,125,121,148,1481,0,1
23,C,75,75,2708,884,157,94,167,181,168,2099,0,1
24,PF,75,75,2727,832,174,115,193,162,159,2110,1,1
25,C,56,56,1850,672,218,88,135,112,132,1452,0,1
26,PF,62,62,2131,577,200,91,143,154,156,1618,0,1
27,PF,23,23,755,193,70,31,41,45,42,518,0,1
24,PF,20,0,98,27,0,4,1,3,16,29,0,0
25,PF,7,0,13,6,0,1,0,0,3,4,0,0
26,PF,8,0,21,11,3,0,0,1,4,17,0,0
27,PF,5,0,22,9,2,1,1,3,2,4,0,0
20,C,36,0,238,60,2,3,17,8,40,58,0,0
21,C,62,6,943,250,40,15,39,32,125,360,0,0
22,C,9,0,118,36,5,3,5,3,12,36,0,0
20,PG,82,0,1523,165,309,97,19,140,201,486,0,0
21,PG,82,82,3192,408,598,170,36,226,267,1131,2,0
22,PG,82,82,3318,349,698,172,47,246,241,1484,1,1
23,PG,50,47,1889,186,320,91,22,140,148,856,0,0
24,PG,67,66,2686,287,501,158,27,215,178,1532,0,1
25,PG,46,32,1581,175,362,81,14,131,126,885,1,0
25,PG,18,13,593,67,129,31,4,38,52,340,1,0
25,PG,28,19,988,108,233,50,10,93,74,545,0,0
26,PG,54,48,1971,236,480,89,14,159,165,967,1,0
27,PG,63,62,2221,276,509,135,29,193,181,1264,1,0
28,PG,82,82,3196,385,623,191,43,232,247,1791,3,0
29,PG,65,60,2248,238,501,108,35,193,193,968,0,0
30,PG,75,73,2523,266,598,126,43,211,210,1145,1,0
31,PG,58,44,1649,156,391,78,28,146,143,760,0,0
31,PG,43,35,1269,120,299,62,22,107,114,552,0,0
31,PG,15,9,380,36,92,16,6,39,29,208,0,0
32,PG,29,14,595,56,135,34,3,76,61,178,0,0
28,PG,13,0,230,22,26,9,2,17,20,65,0,0
29,PG,45,0,599,47,59,17,3,52,55,184,0,0
31,PG,54,2,701,100,70,38,5,44,72,217,0,0
32,SG,62,39,1290,154,137,64,12,77,101,361,0,0
33,PG,28,20,774,74,68,27,5,52,68,185,0,0
34,SG,24,1,340,43,36,12,2,25,28,88,0,0
21,PF,65,17,1602,462,40,39,67,48,183,501,0,0
22,PF,66,9,1534,438,60,40,63,67,156,415,0,0
23,"C,PF",81,28,1631,460,63,38,85,63,191,623,0,0
23,C,45,24,1087,300,55,25,38,45,111,438,0,0
23,PF,36,4,544,160,8,13,47,18,80,185,0,0
24,PF,63,4,956,260,27,17,43,40,114,357,0,0
25,PF,79,24,1840,600,94,49,98,58,202,656,0,0
26,PF,81,0,1684,599,88,57,72,64,202,526,0,0
27,PF,46,12,789,244,26,15,22,37,137,200,0,0
28,C,78,0,1471,575,40,32,52,66,188,414,0,0
29,C,81,1,1446,694,61,35,33,64,226,472,0,0
30,C,28,1,303,105,12,11,9,13,61,51,0,0
31,C,19,7,264,97,19,10,10,6,49,43,0,0
22,C,69,1,940,208,28,31,20,65,160,313,0,0
23,C,76,16,1637,301,69,53,19,71,230,530,0,0
24,PF,54,1,933,205,35,21,14,53,132,340,0,0
25,C,78,13,2298,425,92,78,30,85,231,915,0,0
26,PF,61,13,1427,331,47,43,19,75,106,566,0,0
27,PF,34,33,1064,246,70,32,21,64,88,512,0,0
28,PF,68,44,1662,351,77,58,29,76,159,641,0,0
28,PF,45,43,1354,282,70,46,22,59,111,545,0,0
28,PF,23,1,308,69,7,12,7,17,48,96,0,0
29,PF,74,0,904,169,39,41,21,39,132,294,0,0
23,PF,4,1,23,5,0,0,0,2,3,5,0,0
24,PF,42,5,328,79,12,8,4,15,45,117,0,0
25,PF,6,0,17,4,1,2,0,1,3,6,0,0
25,PF,4,0,12,3,1,1,0,1,2,2,0,0
25,PF,1,0,0,0,0,0,0,0,1,0,0,0
25,PF,1,0,5,1,0,1,0,0,0,4,0,0
31,PF,15,0,130,27,6,7,1,3,19,28,0,0
22,SF,57,0,571,125,47,40,22,68,92,188,0,0
23,SF,75,17,1705,323,135,85,31,118,230,639,0,0
24,SF,71,12,906,158,73,49,18,91,95,282,0,0
25,SF,4,1,35,7,1,1,0,7,12,9,0,0
26,SF,23,7,464,84,38,25,4,40,52,143,0,0
22,C,31,0,180,44,7,6,5,8,28,51,0,0
23,PF,22,1,194,47,10,6,6,9,33,54,0,0
24,PF,27,1,320,67,12,10,3,13,44,107,0,0
25,PF,2,0,8,0,3,0,1,0,0,5,0,0
22,SG,72,4,1209,237,115,39,14,76,124,543,0,0
23,SG,27,2,373,49,24,14,4,20,42,183,0,0
21,C,1,0,1,1,0,0,0,0,0,0,0,0
23,SG,4,0,22,2,1,0,0,1,3,3,0,0
22,PF,6,0,29,4,0,0,1,0,2,5,0,0
27,C,4,0,39,10,0,1,2,3,6,15,0,0
19,SG,46,1,557,84,58,30,7,54,46,209,0,0
20,SG,48,4,570,83,62,30,8,46,39,227,0,0
21,SG,7,0,70,7,11,5,2,5,7,32,0,0
22,SF,82,8,1954,243,178,69,23,148,145,959,0,0
23,SG,79,76,3131,390,436,125,36,277,180,1626,0,0
24,"SF,SG",79,27,2474,358,259,96,22,189,171,1140,0,0
24,SG,22,22,796,121,111,25,8,68,51,336,0,0
24,SF,57,5,1678,237,148,71,14,121,120,804,0,0
25,SG,82,11,2696,249,246,89,27,205,174,1309,0,0
26,"SF,SG",78,78,3207,351,394,91,17,213,190,1516,0,0
26,SG,42,42,1747,187,221,49,9,115,91,827,0,0
26,SF,36,36,1460,164,173,42,8,98,99,689,0,0
27,SF,81,81,3021,315,385,80,23,210,189,1374,0,0
28,SF,82,47,2963,353,276,87,14,191,187,1130,0,0
29,SG,36,9,785,60,82,19,5,39,63,232,0,0
30,SF,36,2,499,57,39,11,3,29,39,158,0,0
25,SG,72,6,920,138,138,41,6,81,87,276,0,0
26,SF,47,3,494,73,65,22,6,35,48,177,0,0
26,SF,26,3,301,45,32,15,3,21,25,112,0,0
26,SF,21,0,193,28,33,7,3,14,23,65,0,0
21,SF,69,4,915,174,34,25,26,48,114,349,0,0
22,SF,72,16,1446,274,78,39,39,59,165,537,0,0
23,SF,41,4,603,91,33,22,21,40,62,194,0,0
24,SF,55,0,676,123,42,14,22,29,82,247,0,0
24,SF,24,0,348,63,21,5,8,13,43,122,0,0
24,SF,31,0,328,60,21,9,14,16,39,125,0,0
25,SF,22,1,148,27,8,4,4,5,18,66,0,0
25,SF,8,0,33,7,2,0,0,0,4,8,0,0
25,SF,14,1,115,20,6,4,4,5,14,58,0,0
26,SF,34,4,344,75,17,12,5,23,39,129,0,0
26,SF,26,4,268,61,9,8,3,18,30,103,0,0
26,SF,8,0,76,14,8,4,2,5,9,26,0,0
22,C,22,1,203,39,9,7,5,4,30,59,0,0
23,C,71,1,1065,298,32,33,27,76,229,375,0,0
24,C,81,49,1523,392,59,85,49,84,277,439,0,0
25,C,47,32,1102,255,31,50,29,54,161,371,0,0
25,C,14,1,258,63,10,13,9,22,51,75,0,0
25,C,33,31,844,192,21,37,20,32,110,296,0,0
26,C,82,31,1831,439,58,63,66,108,275,544,0,0
27,C,67,51,903,236,32,41,33,51,198,261,0,0
28,C,61,14,633,163,22,23,24,34,130,162,0,0
29,C,77,21,1327,339,52,39,36,84,258,365,0,0
30,C,71,53,1211,317,44,47,32,54,217,230,0,0
31,C,8,0,49,10,0,2,0,1,14,9,0,0
20,SG,77,65,1664,223,53,43,18,62,176,662,0,0
21,SG,82,82,2851,315,148,85,31,144,217,1410,0,0
22,SG,63,63,2206,211,128,48,17,123,162,1054,0,0
23,SG,82,82,3013,320,204,76,24,151,173,1485,0,0
24,SG,79,79,3017,343,313,86,28,176,197,1791,0,1
25,SG,60,60,2100,277,210,73,11,137,122,1204,0,0
26,SG,78,78,2804,349,315,81,21,175,167,1830,0,1
27,SG,74,74,2620,386,290,78,13,180,134,2020,0,1
28,SG,80,80,2711,315,417,85,22,175,151,1840,0,1
29,SG,77,77,2688,462,475,86,36,199,177,1635,1,0
30,SF,68,68,2316,375,380,70,20,164,180,1504,0,0
31,PF,25,25,835,125,172,19,8,41,44,495,0,0
23,SG,14,11,279,48,15,10,2,11,17,79,0,0
24,C,31,6,390,127,5,7,22,18,66,97,0,0
24,C,4,0,6,0,0,0,0,0,1,1,0,0
24,C,11,0,150,49,3,0,9,9,28,37,0,0
24,C,16,6,234,78,2,7,13,9,37,59,0,0
25,C,59,15,845,295,9,16,50,51,141,216,0,0
26,C,58,20,705,228,13,22,46,32,109,255,0,0
27,C,76,37,1330,496,44,37,61,61,180,387,0,0
28,C,62,46,1542,489,90,40,51,86,162,617,0,0
29,C,64,52,1609,480,90,69,71,84,214,693,0,0
30,C,44,18,774,249,22,25,41,57,133,256,0,0
30,C,34,10,541,167,15,15,26,47,93,175,0,0
30,C,10,8,233,82,7,10,15,10,40,81,0,0
21,PF,3,0,6,1,0,1,0,0,0,0,0,0
22,PF,77,2,1419,284,76,38,21,41,83,504,0,0
23,PF,73,1,883,174,38,24,9,33,71,303,0,0
24,PF,47,5,788,148,46,38,7,24,47,287,0,0
24,PF,9,5,169,33,9,11,0,5,13,57,0,0
24,PF,38,0,619,115,37,27,7,19,34,230,0,0
27,PG,73,2,1248,123,193,39,1,95,112,391,0,0
28,PG,54,3,1014,100,163,35,6,66,82,338,0,0
24,C,2,0,15,4,0,1,0,0,2,3,0,0
22,SG,30,4,459,55,38,22,6,23,44,116,0,0
23,SG,68,1,726,113,44,21,15,36,86,247,0,0
24,SG,82,1,1372,266,88,46,8,61,97,428,0,0
25,SG,82,0,1928,359,145,69,11,75,177,738,0,0
27,SF,75,66,2279,394,202,80,21,119,138,825,0,0
28,SF,49,40,1590,200,112,76,8,57,72,565,0,0
29,SF,54,53,1537,208,123,79,10,66,99,488,0,0
30,SF,67,5,1689,220,135,68,9,72,114,708,0,0
23,SG,72,4,1271,123,187,33,5,60,121,339,0,0
24,SG,67,13,1380,126,204,24,2,61,152,319,0,0
25,PG,76,14,1867,162,337,44,9,116,178,569,0,0
26,PG,76,54,1986,147,357,53,0,133,153,577,0,0
27,PG,38,3,712,64,145,14,0,49,67,164,0,0
28,PG,48,0,812,77,181,14,2,68,75,282,0,0
28,PG,12,0,97,10,29,2,0,11,9,20,0,0
28,PG,36,0,715,67,152,12,2,57,66,262,0,0
29,PG,57,4,821,75,180,20,2,59,78,177,0,0
23,PG,61,1,867,99,99,36,6,68,71,332,0,0
24,PG,77,9,1681,172,172,73,12,109,96,781,0,0
24,PG,3,0,34,2,3,0,0,4,8,8,0,0
24,PG,74,9,1647,170,169,73,12,105,88,773,0,0
25,PG,36,13,630,54,95,16,6,45,47,246,0,0
26,PG,46,1,682,88,55,35,5,32,58,296,0,0
27,SG,82,11,2288,261,160,75,17,101,171,1005,0,0
28,SG,63,17,1447,203,132,53,10,59,98,597,0,0
28,SG,41,1,877,124,81,31,4,40,60,435,0,0
28,SG,22,16,570,79,51,22,6,19,38,162,0,0
29,PG,67,39,1873,232,146,72,10,69,124,654,0,0
30,SG,33,11,509,59,28,27,7,17,46,197,0,0
31,SG,56,1,1340,130,104,47,3,54,123,667,0,0
32,"PG,SG",24,0,385,53,33,13,1,19,28,182,0,0
32,SG,1,0,7,2,0,0,0,0,0,2,0,0
32,PG,23,0,378,51,33,13,1,19,28,180,0,0
26,PG,6,0,91,8,10,2,0,7,10,26,0,0
26,PG,2,0,19,1,1,1,0,1,2,4,0,0
26,PG,4,0,72,7,9,1,0,6,8,22,0,0
27,PG,2,0,4,0,0,0,0,0,0,0,0,0
22,PF,11,0,67,13,1,0,1,3,9,46,0,0
22,SG,27,0,411,65,31,13,6,19,38,131,0,0
23,SG,66,24,1520,318,154,85,20,90,113,610,0,0
24,SG,33,33,880,152,100,36,8,40,49,348,0,0
24,SG,8,0,95,26,5,1,1,6,10,40,0,0
25,SG,33,0,207,38,21,4,6,12,22,86,0,0
26,SG,32,0,299,56,35,10,4,16,13,101,0,0
26,SG,25,0,249,45,31,8,4,13,12,73,0,0
26,SG,7,0,50,11,4,2,0,3,1,28,0,0
28,SG,9,0,86,13,2,6,0,1,6,26,0,0
19,SF,61,45,1663,322,135,48,27,118,98,711,0,0
20,SF,78,56,2604,516,147,72,50,105,128,1112,0,0
21,SF,82,82,3071,579,204,97,48,153,167,1540,0,0
22,SF,63,59,2128,394,155,57,29,120,117,1070,0,0
23,SF,49,46,1665,295,94,60,25,72,85,690,0,0
24,SF,70,69,2651,512,143,66,61,134,129,1230,0,0
25,SF,82,82,3208,476,230,78,48,156,162,1430,0,0
26,SF,54,54,2129,350,157,56,36,96,81,828,0,1
27,SF,75,75,2903,476,222,81,32,144,105,1237,0,1
28,SF,63,63,2213,361,183,62,9,114,111,1011,0,0
28,SF,23,23,860,158,85,24,4,59,53,438,0,0
28,SF,40,40,1353,203,98,38,5,55,58,573,0,0
29,SF,72,72,2421,376,139,65,22,108,109,1007,0,0
30,PF,74,73,2394,443,140,74,29,81,122,911,0,0
31,SF,56,49,1486,295,74,48,20,43,61,425,0,0
32,SF,1,1,13,0,1,1,0,1,0,2,0,0
33,SF,22,2,392,73,18,15,8,14,24,157,0,0
20,SG,51,3,526,97,17,21,10,23,77,190,0,0
21,SF,46,3,896,167,36,37,9,51,101,318,0,0
22,SG,32,5,761,165,77,31,12,49,83,381,0,0
20,PF,17,0,199,73,4,4,7,7,17,87,0,0
21,PF,52,0,581,211,19,11,21,28,82,254,0,0
22,PF,64,1,896,332,33,29,33,49,113,387,0,0
23,C,47,2,479,131,22,11,12,32,55,219,0,0
24,SG,64,19,1177,110,55,30,7,37,132,284,0,0
25,SG,54,14,542,62,37,8,3,16,61,153,0,0
26,SF,63,21,851,82,27,13,6,16,75,213,0,0
27,SG,6,2,44,4,3,1,0,3,8,5,0,0
22,SG,6,0,18,2,1,0,0,0,0,5,0,0
24,PG,50,0,515,43,85,14,2,53,66,183,0,0
25,PG,43,0,294,26,38,17,0,26,44,95,0,0
25,PG,23,0,143,16,18,9,0,13,22,49,0,0
25,PG,20,0,151,10,20,8,0,13,22,46,0,0
26,PG,71,46,2090,180,347,76,4,145,201,887,0,0
26,PG,4,0,16,1,1,0,0,1,1,5,0,0
26,PG,67,46,2074,179,346,76,4,144,200,882,0,0
27,PG,19,0,234,16,40,11,1,18,40,62,0,0
28,PG,50,3,444,43,70,14,1,27,55,166,0,0
29,PG,67,8,1040,97,172,32,3,55,108,352,0,0
21,SG,76,37,1919,342,182,59,37,126,191,342,0,0
22,SG,66,25,1201,170,149,37,18,87,123,314,0,0
23,PF,81,70,2874,558,503,58,85,189,260,1080,4,0
24,PF,73,59,2268,317,352,28,38,154,177,709,1,0
25,PF,82,19,2308,378,317,61,39,155,166,725,0,0
26,PF,81,59,2754,432,333,61,53,215,202,1072,0,0
26,PF,22,0,538,84,46,11,9,37,39,183,0,0
26,PF,59,59,2216,348,287,50,44,178,163,889,0,0
27,PF,82,82,2906,424,325,60,57,178,219,925,0,0
28,PF,82,82,2778,414,337,74,46,166,190,924,1,0
29,PF,57,35,1424,280,205,34,25,112,125,365,0,0
29,PF,37,28,1018,195,158,20,19,84,71,272,0,0
29,PF,20,7,406,85,47,14,6,28,54,93,0,0
30,PF,75,20,1709,254,180,52,27,84,143,435,0,0
31,PF,79,24,1974,326,222,44,32,121,140,717,0,0
32,PF,81,15,1984,348,233,36,23,126,148,708,0,0
33,PF,76,4,1386,233,176,26,21,97,102,485,0,0
34,PF,73,33,1283,158,170,18,9,87,83,338,0,0
25,PF,3,0,12,2,0,0,0,1,3,7,0,0
26,SF,11,0,61,9,1,2,1,2,5,13,0,0
29,PF,5,0,12,1,1,0,1,0,1,2,0,0
23,SG,50,50,1558,83,95,27,11,66,90,547,0,0
24,SG,82,82,3103,279,208,116,45,165,226,1496,0,0
25,SG,70,69,2618,229,233,62,27,162,207,1142,0,0
26,SG,4,4,124,12,9,3,1,8,12,43,0,0
27,SG,6,1,87,6,8,5,1,6,16,29,0,0
23,PG,23,0,246,21,16,7,0,10,22,88,0,0
24,PG,26,0,288,18,35,4,0,13,27,98,0,0
25,PG,66,21,1356,115,251,35,4,55,107,456,0,0
26,PG,55,0,719,86,122,26,5,21,42,206,0,0
27,PG,9,0,51,3,8,4,0,0,2,6,0,0
27,PG,4,0,25,2,4,3,0,0,1,3,0,0
27,PG,5,0,26,1,4,1,0,0,1,3,0,0
21,PG,34,1,455,48,104,19,6,33,53,145,0,0
22,PG,12,0,159,17,22,3,0,7,20,58,0,0
23,PG,59,18,1334,164,185,44,23,66,119,432,0,0
24,PG,80,58,2306,259,524,68,23,128,186,1007,0,0
25,PG,68,4,1914,166,311,40,17,152,187,1143,0,0
26,PG,64,49,1994,221,432,40,21,174,180,1318,0,0
27,SG,3,3,64,13,9,2,1,5,4,20,0,0
24,C,60,15,818,300,39,30,50,54,108,286,0,0
25,C,73,49,2193,609,146,71,126,126,188,710,0,0
26,C,82,39,2220,585,143,94,96,140,219,827,0,0
27,PF,82,82,2653,647,158,88,95,107,254,816,0,0
28,C,79,0,1333,360,71,45,39,59,147,470,0,0
29,C,76,2,1031,311,72,48,41,57,134,485,0,0
30,C,63,17,1096,354,73,51,59,60,124,464,0,0
30,C,46,17,778,256,58,37,42,44,89,341,0,0
30,C,17,0,318,98,15,14,17,16,35,123,0,0
31,C,21,1,363,95,28,17,14,22,37,161,0,0
22,PF,69,14,1031,229,29,15,30,78,164,486,0,0
23,PF,59,2,760,203,25,8,26,67,122,366,0,0
23,PF,17,0,222,63,5,3,11,18,35,123,0,0
23,PF,42,2,538,140,20,5,15,49,87,243,0,0
24,PF,30,1,305,85,10,7,3,20,43,168,0,0
25,PF,29,1,215,56,3,3,3,12,23,119,0,0
25,PF,19,0,73,17,0,1,2,6,9,27,0,0
25,PF,10,1,142,39,3,2,1,6,14,92,0,0
27,PF,36,0,470,115,2,3,3,22,72,207,0,0
28,PF,2,0,14,1,0,0,0,1,1,2,0,0
20,C,18,1,109,17,5,1,10,12,19,25,0,0
21,PF,80,1,943,215,43,33,81,56,148,119,0,0
22,C,56,3,730,199,34,26,51,29,116,126,0,0
23,C,39,0,306,70,15,8,27,12,53,40,0,0
24,C,81,45,1510,374,23,44,146,36,253,190,0,0
25,C,81,9,1480,438,30,40,113,63,244,190,0,0
26,C,79,23,1295,392,40,26,88,58,146,226,0,0
26,C,52,18,894,270,26,20,63,42,100,158,0,0
26,C,27,5,401,122,14,6,25,16,46,68,0,0
27,C,75,1,1036,273,32,29,56,39,128,170,0,0
27,C,34,0,452,118,13,12,25,11,55,56,0,0
27,C,41,1,584,155,19,17,31,28,73,114,0,0
28,C,27,0,262,65,5,5,14,12,31,32,0,0
29,C,16,0,181,40,7,4,15,11,26,20,0,0
30,C,27,9,325,85,23,6,13,19,36,31,0,0
31,C,22,1,226,51,13,5,16,8,19,16,0,0
24,PG,42,3,647,72,40,26,3,42,54,270,0,0
25,SG,71,16,1478,148,137,82,4,104,111,664,0,0
26,SG,63,4,1054,119,111,43,4,68,98,507,0,0
27,SG,76,42,1920,177,149,58,6,113,157,935,0,0
28,SG,81,6,1926,158,123,76,9,101,177,778,0,0
28,SG,55,1,1243,85,82,49,7,77,112,490,0,0
28,SG,26,5,683,73,41,27,2,24,65,288,0,0
29,PG,53,0,668,75,97,21,2,54,62,263,0,0
29,PG,36,0,424,47,65,21,2,35,38,153,0,0
29,PG,17,0,244,28,32,0,0,19,24,110,0,0
30,PG,50,6,816,67,118,35,6,70,74,261,0,0
19,SG,72,72,2318,563,429,77,25,247,137,1526,8,0
20,PG,61,61,2047,573,538,62,14,260,153,1759,17,1
21,PG,30,30,1054,253,271,30,22,128,62,856,7,1
21,C,49,0,780,148,20,19,17,26,117,304,0,0
22,C,81,29,1335,334,63,29,34,65,224,565,0,0
23,C,77,21,1398,273,65,37,41,59,239,490,0,0
24,C,42,15,705,168,25,15,11,37,98,194,0,0
25,C,75,0,1041,219,42,16,16,49,150,328,0,0
26,C,72,0,1029,265,44,23,36,48,142,325,0,0
26,C,46,0,685,189,30,17,30,37,84,231,0,0
26,C,26,0,344,76,14,6,6,11,58,94,0,0
27,C,80,8,1175,259,47,23,22,36,160,321,0,0
28,C,31,3,371,85,8,10,7,14,45,98,0,0
29,C,56,0,698,155,22,18,15,30,96,200,0,0
30,C,24,8,257,49,7,10,10,12,44,57,0,0
29,SG,8,0,61,5,5,0,0,5,3,25,0,0
20,PG,76,1,1237,89,177,41,11,94,107,449,0,0
21,PG,14,0,155,3,12,4,3,10,20,58,0,0
22,SG,55,1,969,72,89,24,6,60,93,350,0,0
23,PG,58,24,1137,79,130,45,6,65,108,360,0,0
24,PG,74,0,1184,90,132,39,11,65,120,382,0,0
25,PG,50,7,1137,78,109,49,4,82,116,470,0,0
26,SG,66,2,1435,86,112,52,15,72,125,521,0,0
27,PG,72,1,1334,101,133,36,5,61,131,581,0,0
28,PG,77,18,2074,155,270,71,8,105,135,748,0,0
29,PG,53,8,971,54,135,34,0,59,82,364,0,0
30,PG,80,22,1757,117,243,54,4,91,119,571,0,0
31,SG,46,2,662,39,51,13,2,34,57,182,0,0
32,PG,7,0,82,1,8,1,0,5,8,31,0,0
25,PF,3,0,6,1,1,0,0,0,0,2,0,0
26,PF,15,0,106,43,2,3,2,6,21,23,0,0
26,PF,7,0,54,25,2,2,1,4,12,11,0,0
26,PF,8,0,52,18,0,1,1,2,9,12,0,0
27,C,43,9,522,190,27,24,17,39,78,135,0,0
31,PF,69,17,854,279,25,40,25,41,157,184,0,0
21,SG,56,5,974,130,79,17,5,37,63,405,0,0
22,SG,48,11,698,113,56,14,2,27,53,296,0,0
22,SG,27,0,251,43,17,7,1,10,20,90,0,0
22,SG,21,11,447,70,39,7,1,17,33,206,0,0
20,SF,36,28,820,81,27,31,4,22,97,244,0,0
21,SG,31,31,926,109,46,26,8,47,75,391,0,0
21,PG,1,0,10,1,0,0,0,0,1,4,0,0
23,SG,44,2,474,84,31,12,2,17,34,182,0,0
24,SG,73,40,2004,262,135,58,10,71,135,779,0,0
25,SG,48,0,836,91,57,23,4,21,44,321,0,0
26,SG,27,6,531,48,59,11,4,22,24,193,0,0
22,PG,42,0,359,37,15,15,4,15,21,119,0,0
23,PG,74,0,876,83,53,30,12,59,80,354,0,0
24,PG,27,0,300,32,25,5,5,13,27,115,0,0
24,PG,20,0,227,25,13,2,5,6,23,84,0,0
24,PG,7,0,73,7,12,3,0,7,4,31,0,0
22,SG,44,3,585,50,52,12,7,31,34,216,0,0
23,SF,67,38,1730,198,93,55,19,97,101,657,0,0
24,SF,44,12,884,88,50,29,13,35,73,323,0,0
